class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ixoXEAX9M2DD,1580.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T9A9Qv8Z2mX8', 'label': '(Sampson 2020)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Innominati di Parma,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5K5Fc8Tejhd9,translator,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bRregcw3FA5L,singer,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7foFM4iCJ8um,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GWw8DELtG846', 'label': 'colleague'}",Pietro Vinci,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,notable_work,,,,,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,interested_in,,,,,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,catalog_identifier,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16263.0,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,baADqnLF4t7X,692621893893598341020,present_in_work,,,,,,,,,,,,,,,,,,,,,,,
