class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PnkoxmTbaCXr,Muse,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BvVWzBztq38s,poetry,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DGVEXnoNEPuk,laurel,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dzfwa86PTDPj,harbor,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JdkY2CAbEjzJ,myrtle,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XiX6EsWKP6ht,natural spring,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9R22nChmKScL,celestial body,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtFVPwAgP7uA,transformation,,,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Muse che tante volte ributtai,,,Muse che tante volte ributtai,Muse che tante volte ributtai.md,RqckzyEusUXL,491862005217872116962,text,,,,,,,,,,,,,,,,,,,,,,"Muse che tante volte ributtai,
Importune correte a' miei dolori;
Per consolarmi sole ne' miei guai
Con tai versi, tai rime, e tai furori,
Con quali ad altri vi mostraste mai,
Che de mirti si vantan, et allori;
Hor fia appò voi mia aura, àncora, et porto,
Se non mi lice altrov'ira diporto.
Oh monte, oh dive, oh fonte
Ov'habito, converso e mi nodrisco;
Dove quieto imparo et imbellisco;
Alzo, avviv', orno, il cor', il spirto, et fronte:
Morte, cipressi, inferni
Cangiate in vita, in lauri, in astri eterni."
