class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,based_on,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HAVtemqRko2X,Madonna hor che direte,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,text,,,,,,,,,,,,,,,,,"Alma mia fiamm'et donna
S'io veggio ogni mio ben nel vostro viso
Io dico ch'ivi sol è il paradiso.
E se gli è pur altrove
Debb'esser un essempio da voi tolto
Et è bel quando vien dal vostro volto.",,,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,subject,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TfTjBsLkYTWn,love,,,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,poetic_type,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,depicts,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,depicts,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gHVGjgKjtq6V,woman,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,depicts,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V9gBMagpTVV8,gaze,,
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,metre,,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable
MusicComposition,Alma mia fiamm'et donna (Bargonio),,,Alma mia fiamm'et donna (Bargonio),Alma mia fiamm'et donna (Bargonio).md,7LEQYNK3m5Yx,109774827759460157703,metre,,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable
