class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_IIIF_manifest,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE044023,1591.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U6A7AEa9PvuU', 'label': 'Alessandro Vincenti'}",https://edl.cultura.gov.it/item/koj873vgr2,https://edl-jarvis.cultura.gov.it/meta/iiif/3df44799-3d6e-4a9b-9298-f003dbf6c795/manifest,"Only altus, tenor and bassus survive.",,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mAfAzwcY3eEC,Giulio Eremita,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,subject,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,has_part,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Giardino de musici ferraresi madrigali a cinque voci,,,Giardino de musici ferraresi madrigali a cinque voci,Giardino de musici ferraresi madrigali a cinque voci.md,Z4tF6WkwvV2U,640755993829783026320,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
