class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcrqwjgvBQyM,despair,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,poetic_type,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UmZJdKF5x97H,sestina,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d6Scakn6F3bd,Sun,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUxMMRYHpPZP,night,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iWa8EnwdNBqa,fleeing,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jPhykh6zJdpb,life,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable
